,long,lat,group,District
418,76.06640298,17.31131063,2,Kalaburagi
419,76.06507941,17.31228668,2,Kalaburagi
420,76.07235902,17.33408513,2,Kalaburagi
421,76.0730208,17.33636258,2,Kalaburagi
422,76.07533704,17.33636258,2,Kalaburagi
423,76.07930774,17.33148233,2,Kalaburagi
424,76.08195487,17.33603723,2,Kalaburagi
425,76.099823,17.36466803,2,Kalaburagi
426,76.11901469,17.37052433,2,Kalaburagi
427,76.16269233,17.34514703,2,Kalaburagi
428,76.16500857,17.30317688,2,Kalaburagi
429,76.17625887,17.30089943,2,Kalaburagi
430,76.18320759,17.31944438,2,Kalaburagi
431,76.17030283,17.35263008,2,Kalaburagi
432,76.22953236,17.36531873,2,Kalaburagi
433,76.22853969,17.37572994,2,Kalaburagi
434,76.24210623,17.37898344,2,Kalaburagi
435,76.2507094,17.36043848,2,Kalaburagi
436,76.27221733,17.36043848,2,Kalaburagi
437,76.27651892,17.33473583,2,Kalaburagi
438,76.31788032,17.33245838,2,Kalaburagi
439,76.31424052,17.34840053,2,Kalaburagi
440,76.3453443,17.35458218,2,Kalaburagi
441,76.35394747,17.31423878,2,Kalaburagi
442,76.3830659,17.31456413,2,Kalaburagi
443,76.39663244,17.34709913,2,Kalaburagi
444,76.41218433,17.35100333,2,Kalaburagi
445,76.40920631,17.37150038,2,Kalaburagi
446,76.36354332,17.37768204,2,Kalaburagi
447,76.37148471,17.43657039,2,Kalaburagi
448,76.33343221,17.43396759,2,Kalaburagi
449,76.33078508,17.47008145,2,Kalaburagi
450,76.3754554,17.49025315,2,Kalaburagi
451,76.34567519,17.4925306,2,Kalaburagi
452,76.34666786,17.5127023,2,Kalaburagi
453,76.36718312,17.51986,2,Kalaburagi
454,76.36718312,17.51986,2,Kalaburagi
455,76.36288153,17.53742891,2,Kalaburagi
456,76.34071182,17.54263451,2,Kalaburagi
457,76.33144687,17.59631727,2,Kalaburagi
458,76.41979483,17.60380032,2,Kalaburagi
459,76.42905978,17.64349302,2,Kalaburagi
460,76.42905978,17.64349302,2,Kalaburagi
461,76.42939067,17.64479442,2,Kalaburagi
462,76.44494256,17.64089022,2,Kalaburagi
463,76.44196454,17.64934932,2,Kalaburagi
464,76.45288395,17.65585632,2,Kalaburagi
